"id","year","first_name","sex","num","popularity_type"
1,2013,"Aaliyah","F",5237,"Trendy"
2,2012,"Aaliyah","F",5511,"Trendy"
3,2011,"Aaliyah","F",5122,"Trendy"
4,1980,"Aaron","M",13173,"Semi-classic"
5,2019,"Aaron","M",5520,"Semi-classic"
6,2003,"Aaron","M",8869,"Semi-classic"
7,1984,"Aaron","M",13407,"Semi-classic"
8,1997,"Aaron","M",11170,"Semi-classic"
9,1970,"Aaron","M",6584,"Semi-classic"
10,2020,"Aaron","M",5039,"Semi-classic"
11,1992,"Aaron","M",14508,"Semi-classic"
12,1999,"Aaron","M",9857,"Semi-classic"
13,1971,"Aaron","M",8406,"Semi-classic"
14,2017,"Aaron","M",7208,"Semi-classic"
15,2010,"Aaron","M",7464,"Semi-classic"
16,1972,"Aaron","M",7863,"Semi-classic"
17,1990,"Aaron","M",14553,"Semi-classic"
18,1973,"Aaron","M",9237,"Semi-classic"
19,2001,"Aaron","M",9542,"Semi-classic"
20,1985,"Aaron","M",13137,"Semi-classic"
21,1983,"Aaron","M",14460,"Semi-classic"
22,1974,"Aaron","M",10511,"Semi-classic"
23,2006,"Aaron","M",8300,"Semi-classic"
24,1989,"Aaron","M",15312,"Semi-classic"
25,2018,"Aaron","M",5975,"Semi-classic"
26,2002,"Aaron","M",9005,"Semi-classic"
27,1998,"Aaron","M",10549,"Semi-classic"
28,1975,"Aaron","M",10550,"Semi-classic"
29,1991,"Aaron","M",14241,"Semi-classic"
30,1995,"Aaron","M",13290,"Semi-classic"
31,2012,"Aaron","M",7537,"Semi-classic"
32,1982,"Aaron","M",14413,"Semi-classic"
33,1996,"Aaron","M",11972,"Semi-classic"
34,1976,"Aaron","M",11350,"Semi-classic"
35,1988,"Aaron","M",14408,"Semi-classic"
36,2000,"Aaron","M",9555,"Semi-classic"
37,2009,"Aaron","M",7977,"Semi-classic"
38,1986,"Aaron","M",12689,"Semi-classic"
39,2016,"Aaron","M",7166,"Semi-classic"
40,2011,"Aaron","M",7617,"Semi-classic"
41,1977,"Aaron","M",11633,"Semi-classic"
42,2004,"Aaron","M",8395,"Semi-classic"
43,2005,"Aaron","M",7805,"Semi-classic"
44,1978,"Aaron","M",12307,"Semi-classic"
45,2013,"Aaron","M",7313,"Semi-classic"
46,2014,"Aaron","M",7401,"Semi-classic"
47,1994,"Aaron","M",14384,"Semi-classic"
48,1981,"Aaron","M",14697,"Semi-classic"
49,2007,"Aaron","M",8941,"Semi-classic"
50,1979,"Aaron","M",13080,"Semi-classic"
51,1993,"Aaron","M",13831,"Semi-classic"
52,2015,"Aaron","M",7166,"Semi-classic"
53,1987,"Aaron","M",12683,"Semi-classic"
54,2008,"Aaron","M",8542,"Semi-classic"
55,2011,"Abigail","F",13253,"Semi-trendy"
56,2003,"Abigail","F",15931,"Semi-trendy"
57,2016,"Abigail","F",11780,"Semi-trendy"
58,2010,"Abigail","F",14248,"Semi-trendy"
59,2004,"Abigail","F",15427,"Semi-trendy"
60,2019,"Abigail","F",9134,"Semi-trendy"
61,1997,"Abigail","F",9628,"Semi-trendy"
62,2020,"Abigail","F",7817,"Semi-trendy"
63,2009,"Abigail","F",14391,"Semi-trendy"
64,2013,"Abigail","F",12411,"Semi-trendy"
65,2005,"Abigail","F",15751,"Semi-trendy"
66,2015,"Abigail","F",12414,"Semi-trendy"
67,2018,"Abigail","F",9854,"Semi-trendy"
68,1993,"Abigail","F",5184,"Semi-trendy"
69,1996,"Abigail","F",8604,"Semi-trendy"
70,2017,"Abigail","F",10624,"Semi-trendy"
71,2001,"Abigail","F",14807,"Semi-trendy"
72,2012,"Abigail","F",12713,"Semi-trendy"
73,1995,"Abigail","F",7822,"Semi-trendy"
74,2002,"Abigail","F",15300,"Semi-trendy"
75,2000,"Abigail","F",13090,"Semi-trendy"
76,2008,"Abigail","F",15082,"Semi-trendy"
77,2007,"Abigail","F",15473,"Semi-trendy"
78,2006,"Abigail","F",15630,"Semi-trendy"
79,1999,"Abigail","F",11683,"Semi-trendy"
80,1998,"Abigail","F",11099,"Semi-trendy"
81,1994,"Abigail","F",7240,"Semi-trendy"
82,2014,"Abigail","F",12095,"Semi-trendy"
83,2000,"Adam","M",8133,"Semi-trendy"
84,1978,"Adam","M",13921,"Semi-trendy"
85,1997,"Adam","M",8805,"Semi-trendy"
86,1979,"Adam","M",17061,"Semi-trendy"
87,1985,"Adam","M",20172,"Semi-trendy"
88,1983,"Adam","M",23494,"Semi-trendy"
89,1998,"Adam","M",8357,"Semi-trendy"
90,1976,"Adam","M",9947,"Semi-trendy"
91,2011,"Adam","M",5208,"Semi-trendy"
92,1994,"Adam","M",11019,"Semi-trendy"
93,1989,"Adam","M",16931,"Semi-trendy"
94,2009,"Adam","M",5672,"Semi-trendy"
95,1971,"Adam","M",5856,"Semi-trendy"
96,1990,"Adam","M",14708,"Semi-trendy"
97,1991,"Adam","M",12303,"Semi-trendy"
98,1975,"Adam","M",8651,"Semi-trendy"
99,2001,"Adam","M",7752,"Semi-trendy"
100,2003,"Adam","M",7686,"Semi-trendy"
101,2014,"Adam","M",5331,"Semi-trendy"
102,1980,"Adam","M",18874,"Semi-trendy"
103,2012,"Adam","M",5318,"Semi-trendy"
104,1977,"Adam","M",11037,"Semi-trendy"
105,1999,"Adam","M",8223,"Semi-trendy"
